,SENTENCE,Assessment,Time
22-B,"Future research with more frequent assessments of offspring weight and, potentially, analysis of growth velocities [51] might better inform how and when nutrient exposures in pregnancy impact growth.",Useful,106.917697429657
19-B,We suggest that an international multidisciplinary working group to be set up to oversee the design of future prevention or supplementation studies.,Useful,79.0096669197083
21-B,"Although a recent pilot randomized trial [39] found no significant impact of a low glycemic index diet on the offspring weight of overweight/obese mothers, future, larger randomized trials and research with more frequent assessments of diet in pregnancy are needed to untangle the relationship between weight status, time in pregnancy of nutrient exposures, and offspring weight outcomes.",Not useful,122.481992483139
18-A,"Whereas future observational epidemiological studies and genetic and molecular investigations will be useful to strengthen and refine the hypothesis, it might be necessary to do a large randomized trial to establish the safety and efficacy needed to promote large-scale vitamin D supplementation.",Useful,133.617731332779
6-C,"However an analysis of the effects of supplementation on broader micronutrient status in this population would have been of interest and is a specified outcome in the main trial, which will be reported elsewhere.",Useful,199.916642665863
17-C,"Although these doses are largely considered safe and potentially beneficial for other outcomes [8,19], confirmation of safety and efficacy in a large randomized trial is needed before making general recommendations.",Useful,161.800095081329
20-B,This information is critical for the design of future intervention trials targeting obesity prevention in children.,Not useful,42.7953159809113
15-A,"Regarding maternal lactation diets, a Cochrane database meta-analysis [99] found some evidence of reduced atopic dermatitis, but suggested that more studies are needed.",Not useful,168.74950504303
4-A,"Further research should investigate variables in family relationships, the home, and the extended environment that influence eating.",Useful,41.8787941932678
14-C,"Many questions remain and future research will benefit from focused studies aimed at specific exposures and subpopulations, allowing for more detailed analyses by histologic subtypes.",Not useful,37.2498519420624
12-C,"Though consistent with studies of men and non-pregnant women, larger prospective studies that include objective measures of sleep duration, sleep quality, and sleep apnea during pregnancy are needed to confirm our findings.",Useful,111.181660413742
0-A,We plan to explore these issues in future experiments.,Useful,148.96467924118
29-A,"As in our studies, these inconsistent findings point to the existence of complicated pathways for the function of vitamin D in disease processes, or simply that the correct effective dose of vitamin D supplementation needs to be better defined.",Not useful,85.1186416149139
1-B,"Furthermore, the high frequency of gastrointestinal side effects experienced by people with type 2 diabetes suggests that any future role of acarbose, even if subsequent studies confirm safety, will be limited.",Not useful,78.7833635807037
5-A,"More detailed studies of inflammatory markers and MMN supplementation are required in order to understand their roles in the aetiology of anaemia in this population of women, particularly in areas of high malarial endemicity.",Useful,80.0404334068298
16-C,"Our implications for future research and MS prevention and according to the basis of the results of the only longitudinal study of serum 25-hydroxyvitamin D and MS onset [18], and assuming that these results are unbiased and vitamin D is truly protective against MS, over 70% of MS cases in the USA and Europe could be prevented by increasing the serum 25-hydroxyvitamin D concentration of adolescents and young adults to above 100 nmol/L [41,42].",Not useful,167.235122442245
27-A,"However, it will be increasingly important to examine, in larger studies, how additional specific exposures, such as lead as has been done by previous researchers (Pilsner et al. 2009), during intrauterine development affect these epigenetic markers in a more quantitative way.",Not useful,93.8620758056641
